### Third & 20 Metrics Chart,Metric,Description,Source,Computation/Grade
| Inference | Scheme Compatibility Scoring | Execution fit vs. playbook. | Pattern Matching | Cosine similarity; 92% example fit. |,SDI Cards (Per-Player),Athlete B2C evals with baselines.,SDI Composite,Player-owned; Grant license for use.
| Inference | Coach DNA Pattern Matching | Tracks coach tendencies over time. | Database Lookup | Multi-game analysis; Contradiction flags. |,Opponent Tendency Matrix,"Historical patterns (e.g., blitz %).",Tendency Match,Matrix view; Film-linked.
| Inference | Game State Weighting | Adjusts for down/field/score. | Scoreboard + Position | Weighted probabilities; <300ms lookup. |,One-Play Deep Dives,Frame-by-frame analysis.,CV + Inference,Reasoning graphs; Post-game option.
| Inference | Contradiction Detection | Spots busted assignments. | AA + Tracking | Flags mistakes; Links to film frame. |,,,,
"| Output/SDI | SDI Composite Score | Overall player grade (>90 Elite target). | All Components | Weighted: RL 30%, FSQ 25%, AA 30%, LI 15%; Grades: Elite 90+, Above Avg 75-89, Avg 50-74, Below Avg 25-49, Poor <25. |",,,,
| Output | Play Recommendations | Top 3 plays + % vs. defense. | Inference Engine | Ranked by probability; Tap for film. |,,,,
| Output | SDI Cards (Per-Player) | Athlete B2C evals with baselines. | SDI Composite | Player-owned; Grant license for use. |,,,,
"| Output | Opponent Tendency Matrix | Historical patterns (e.g., blitz %). | Tendency Match | Matrix view; Film-linked. |",,,,
| Output | One-Play Deep Dives | Frame-by-frame analysis. | CV + Inference | Reasoning graphs; Post-game option. |,,,,
,,,,
"This is self-contained for your pitch or swarm—add columns as needed (e.g., for Hudl/MFT comparison). If tweaking (e.g., add examples from playbooks like ""Orbit Package"" integration), let me know!",,,,
